Domain;URL;Status;Source;Rank;Updated at;Confidence;LLM Reasoning;Case Management Status
link.splashssports.com;https://link.splashssports.com/;Review needed;Variant (link.splashsports.com);;2026-08-31T12:00:22.167256Z;10;Screenshot: The page shows a 'This domain is for sale' message, indicating that the content is unavailable.. Screenshot: There are no visible elements related to online gambling, such as betting options or deposit buttons.;
link.splashspots.com;https://link.splashspots.com/;Review needed;Variant (link.splashsports.com);;2026-08-31T12:00:30.353100Z;10;URL: The website displays a 502 Bad Gateway error, indicating that the content is unavailable and therefore the decision is limited.;
link.splashsports.ru;https://link.splashsports.ru/;Review needed;Variant (link.splashsports.com);;2026-08-31T12:00:36.715042Z;10;Screenshot: The website is blocked and inaccessible due to a security solution triggered by Cloudflare, preventing access to splashsports.ru.;
m.blickpunktcasino.com;https://m.blickpunktcasino.com/;Review needed;Variant (blickpunktcasino.com);;2026-08-31T12:00:43.128085Z;20;Screenshot: The website displays an invalid SSL certificate error, indicating that the content is unavailable for classification.;
splashsports.ru;https://splashsports.ru/;Review needed;Redirect (link.splashsports.ru);;2026-08-31T12:00:43.132124Z;10;Screenshot: The website is blocked and inaccessible due to a security solution triggered by Cloudflare, preventing access to splashsports.ru.;
login.blickpunktcasino.com;https://login.blickpunktcasino.com/;Review needed;Variant (blickpunktcasino.com);;2026-08-31T12:00:49.322134Z;30;Screenshot: The website displays an invalid SSL certificate error, indicating that the content is unavailable for review.. URL: The URL contains the term 'casino', which suggests the site is related to gambling, but the content cannot be accessed to confirm if online gambling is allowed.;
account.blickpunktcasino.com;https://account.blickpunktcasino.com/;Review needed;Variant (blickpunktcasino.com);;2026-08-31T12:00:56.781683Z;20;Screenshot: The website displays an invalid SSL certificate error, indicating that the content is unavailable for review.. URL: The URL path includes 'account' which suggests it might be related to user accounts, but the SSL error prevents further verification of online gambling activities.;
mobile.blickpunktcasino.com;https://mobile.blickpunktcasino.com/;Review needed;Variant (blickpunktcasino.com);;2026-08-31T12:01:04.097857Z;20;Screenshot: The website displays an invalid SSL certificate error, indicating that the content is unavailable.. URL: The URL contains the term 'casino', suggesting the site is about gambling, but the content is unavailable due to the SSL error.;
www.blickpunktcasino.com;https://www.blickpunktcasino.com/;Review needed;Variant (blickpunktcasino.com);;2026-08-31T12:01:11.244802Z;80;URL: The URL contains the word 'casino', indicating the site is related to gambling.. Screenshot: The content on the page is about architectural excellence and innovation, not online gambling.. Screenshot: There are no visible betting options, deposit buttons, or play now indicators.. Screenshot: The site appears to be informational or promotional rather than offering direct gambling services.;
support.blickpunktcasino.com;https://support.blickpunktcasino.com/;Review needed;Variant (blickpunktcasino.com);;2026-08-31T12:01:20.200444Z;30;Screenshot: The website displays an invalid SSL certificate error, indicating that the content is unavailable.. URL: The URL contains the term 'blickpunktcasino', suggesting the site is about gambling but does not provide actionable betting or playing options due to the SSL error.;
secure.blickpunktcasino.com;https://secure.blickpunktcasino.com/;Review needed;Variant (blickpunktcasino.com);;2026-08-31T12:01:27.575581Z;30;Screenshot: The website displays an invalid SSL certificate error, indicating that the content is unavailable for review.. Screenshot: The error message states that the origin web server does not have a valid SSL certificate, confirming the unavailability of the content.;
verify.blickpunktcasino.com;https://verify.blickpunktcasino.com/;Review needed;Variant (blickpunktcasino.com);;2026-08-31T12:01:34.770238Z;30;Screenshot: The website displays an invalid SSL certificate error, indicating that the content is unavailable for review.. URL: The URL contains the term 'casino', which suggests the site might be related to gambling, but the content cannot be verified due to the SSL error.;
news.cunexusconference.org;https://news.cunexusconference.org/;Not gambling;Google Search (สล็อต);;2026-08-31T12:15:00.000591Z;;;
rensselaerschools.org;https://rensselaerschools.org/?list=boss&date=06-17&key=%E0%B8%AA%E0%B8%B9%E0%B8%95%E0%B8%A3-%E0%B8%9A%E0%B8%B2-%E0%B8%84%E0%B9%88%E0%B8%B2-%E0%B8%A3%E0%B9%88%E0%B8%B2-sa-gaming-2026;Not gambling;Google Search (สูตรบาคาร่า);;2026-08-31T12:15:00.000591Z;;;
app.bot.or.th;https://app.bot.or.th/BTWS_STAT/statistics/ReportPage.aspx?reportID=921&language=th;Not gambling;Google Search (พร้อมเพย์);;2026-08-31T12:15:00.000591Z;;;
th.arkansaswater.org;https://th.arkansaswater.org/;Not gambling;Google Search (สล็อต);;2026-08-31T12:15:00.000591Z;;;
